Flux 0.11.6
DotNET 0.1.2
Electron 2.0.1
GeometricalPredicates 0.4.0
InspectDR 0.3.10
JuMPeR 0.6.0
LatexPrint 1.0.0
LightGBM 0.5.1
MakieGallery 0.2.17
SparsityDetection 0.3.3
GasModels 0.8.2
HMMBase 1.0.6
IncrementalInference 0.21.3
InformationMeasures 0.3.1
MeshIO 0.4.3
Mill 2.4.0
Modia3D 0.4.0
RuntimeGeneratedFunctions 0.5.1
SCS 0.7.1
ViscousFlow 0.4.5
AWSCore 0.6.17
DataInterpolations 3.3.1
GDAL 1.2.1
Hypatia 0.3.0
InplaceOps 0.3.0
InteractiveViz 0.1.3
JSExpr 1.0.1
KNITRO 0.9.3
MCTS 0.4.7
NamedTupleTools 0.13.7
PeriodicTable 1.0.0
Porta 0.1.3
Primes 0.5.0
SimpleWeightedGraphs 1.1.1
ArnoldiMethod 0.2.0
AverageShiftedHistograms 0.8.5
CombinedParsers 0.1.5
CurveFit 0.3.3
DynamicPPL 0.10.7
Elemental 0.6.0
Elly 0.5.1
MIRT 0.13.0
MultiScaleArrays 1.8.1
PolyChaos 0.2.3
ReinforcementLearningEnvironments 0.4.7
Salsa 2.2.0
TextParse 1.0.1
TimeZones 1.5.3
Tk 0.7.0
VariantVisualization 0.4.0
Zarr 0.5.2
ArrayInterface 3.1.2
BioStructures 0.11.7
Blobs 0.5.0
BusinessDays 0.9.13
ColorBrewer 0.4.0
Fire 0.1.1
FredData 0.4.0
GenericSVD 0.3.0
JSON2 0.3.2
MagneticReadHead 0.3.0
MLDataPattern 0.5.4
Observables 0.4.0
Shapefile 0.7.0
SimpleContainerGenerator 2.0.2
StructJuMP 0.2.0
TensorToolbox 1.0.1
Vimes 0.1.0
ApproxBayes 0.3.2
ChemometricsTools 0.5.14
ColorTypes 0.10.9
Dispatcher 1.0.1
Dolo 0.4.1
FixedPointNumbers 0.8.4
JWAS 0.11.4
ReferenceTests 0.9.4
SimpleDirectMediaLayer 0.2.1
SpectralClustering 0.1.2
CompEcon 0.4.0
GenomeGraphs 0.2.0
ImportMacros 1.0.0
IntervalConstraintProgramming 0.12.1
Jaynes 0.1.33
LiveServer 0.6.0
Missings 0.4.5
MIToS 2.5.0
Publish 0.6.4
QuantumLattices 0.1.3
SMC 0.1.13
AccurateArithmetic 0.3.5
Actors 0.2.3
ARCHModels 1.3.0
DiffEqPhysics 3.9.0
FileTrees 0.2.2
Hwloc 1.3.0
InvertedIndices 1.0.0
jInv 1.0.0
Kalman 0.1.4
Meshing 0.5.6
Pages 0.3.1
PastaQ 0.0.5
ProgressBars 1.0.0
ReinforcementLearningZoo 0.3.4
SeisIO 1.2.0
SMM 1.4.0
TemporalGPs 0.3.10
TransformVariables 0.3.11
AxisKeys 0.1.12
CombineML 1.3.0
Cosmology 1.0.0
DeepQLearning 0.6.2
DiffEqUncertainty 1.8.0
ExcelFiles 1.0.0
GtkReactive 1.0.5
IntervalSets 0.5.2
KrylovMethods 0.6.0
Mimi 1.1.1
Presentation 0.2.2
QuickTypes 1.6.3
SafeTestsets 0.0.1
ScientificTypes 1.1.1
SpatialEcology 0.9.7
AbstractFFTs 1.0.1
AlphaVantage 0.3.0
Arpack 0.5.1
ConcreteStructs 0.2.2
DataLoaders 0.1.2
DirectSum 0.7.5
FluxJS 0.2.0
GeoMakie 0.1.15
KittyTerminalImages 0.3.0
MultiJuMP 0.5.0
ObjectDetector 0.1.13
Octavian 0.2.10
OSQP 0.6.1
PolynomialRoots 1.0.0
RData 0.7.3
SingularIntegralEquations 0.6.6
SingularSpectrumAnalysis 0.4.0
SolveDSGE 0.4.0
UnPack 1.0.2
Xtensor 0.8.2
AmplNLWriter 0.6.0
AtariAlgos 0.0.2
CanonicalTraits 0.2.4
CSVFiles 1.0.0
DecFP 1.1.0
DeepDiffs 1.2.0
DiffEqParamEstim 1.20.1
Econometrics 0.2.8
Expectations 1.7.1
FITSIO 0.16.7
ImageMagick 1.1.6
LazyJSON 0.2.2
MethodAnalysis 0.4.4
Mosek 1.1.3
Nettle 0.5.0
QuantumLab 1.0.1
Unrolled 0.1.3
YOLO 0.1.0
ArviZ 0.5.0
Clp 0.8.3
CodecZlib 0.7.0
DiffEqJump 6.13.0
DiffEqNoiseProcess 5.6.0
ElasticArrays 1.2.6
GeoJSON 0.5.1
Languages 0.4.3
LinearAlgebraicRepresentation 1.0.0
Maxima 0.1.2
ODEFilters 0.1.0
ParallelKMeans 0.2.0
ProbNumDiffEq 0.1.1
Rematch 0.3.2
Richardson 1.4.0
RollingFunctions 0.6.2
SaferIntegers 2.5.1
Sherlock 0.1.3
Strapping 1.2.0
Strs 1.0.3
TaylorModels 0.3.7
DynamicAxisWarping 0.4.7
ExprOptimization 0.2.1
FlashWeave 0.18.0
FluxTraining 0.1.3
GraphIO 0.5.0
ImageFeatures 0.4.4
JSONTables 1.0.1
MathOptFormat 0.4.0
MLJTuning 0.6.2
Mocking 0.7.1
OrderedCollections 1.4.0
Pavito 0.3.1
Signals 1.2.0
StaticNumbers 0.3.3
StochasticPrograms 0.5.0
SumProductNetworks 0.1.2
TravelingSalesmanHeuristics 0.3.3
Tricks 0.1.4
Xpress 0.12.2
DiscreteEvents 0.3.2
EllipsisNotation 1.1.0
ExprTools 0.1.3
FastClosures 0.3.2
GeoInterface 0.5.4
Humanize 1.0.0
Impute 0.6.3
Kinetic 0.7.1
LibGEOS 0.6.7
Memoization 0.1.5
MIDI 1.8.1
ModernRoboticsBook 0.1.1
NFFT 0.6.1
PiecewiseLinearOpt 0.3.0
Poptart 0.3.2
RoME 0.13.0
Seaborn 0.4.1
ShiftedArrays 1.0.0
SimpleHypergraphs 0.1.14
Simulate 0.2.0
SparseRegression 0.2.0
TerminalExtensions 0.4.0
UnsafeArrays 1.0.2
AcceleratedArrays 0.3.2
BilevelOptimization 0.2.2
BinaryTraits 0.6.0
BioAlignments 2.0.0
Cliffords 0.6.0
CmdStan 6.1.8
ConjugatePriors 0.4.0
HybridArrays 0.4.7
InfiniteArrays 0.10.3
JuliaDBMeta 0.4.3
LocalCoverage 0.2.0
MultiFloats 1.0.2
PencilFFTs 0.12.1
Pingouin 0.2.2
SeisNoise 0.5.0
Telegram 1.0.0
WordCloud 0.4.8
AbstractTensors 0.6.5
AsmMacro 0.1.0
CMBLensing 0.5.0
ComputedFieldTypes 0.1.0
CovarianceMatrices 0.9.1
Decimals 0.4.1
Diagonalizations 0.2.0
DiffEqCallbacks 2.16.0
DiffEqDevTools 2.27.2
DynamicPolynomials 0.3.15
Gloria 0.2.1
GridInterpolations 1.1.1
IntervalOptimisation 0.4.2
Jive 0.2.15
LibSerialPort 0.5.0
LowLevelParticleFilters 1.0.3
LRUCache 1.2.0
NamedTuples 5.0.0
OptimKit 0.3.1
PiCraft 0.3.0
QuantileRegressions 0.1.6
SpikingNeuralNetworks 0.1.0
TheFix 0.2.3
VQC 0.1.0
WaterModels 0.7.0
BilevelJuMP 0.4.1
Deconvolution 1.1.0
DocumenterCitations 0.2.1
FinancialDerivatives 0.0.1
FlatBuffers 0.5.4
GaloisFields 1.0.1
GLMakie 0.1.27
ImageSegmentation 1.5.0
Joseki 0.2.1
JuliennedArrays 0.2.2
MathematicalSystems 0.11.9
MusicManipulations 1.6.1
NaiveGAflux 0.7.3
NumericalIntegration 0.3.2
OpenQuantumTools 0.6.2
Oscar 0.5.1
PartialLeastSquaresRegressor 2.1.0
PDSampler 0.1.1
Recommendation 0.3.0
SortingAlgorithms 0.3.1
StructTypes 1.4.0
Survival 0.2.1
AdvancedMH 0.5.7
Alert 0.2.1
AutoHashEquals 0.2.0
BayesianNonparametrics 0.1.0
BoltzmannMachines 1.2.0
ClimateMARGO 0.2.0
DICOM 0.8.0
GemmKernels 0.1.0
GPUCompiler 0.10.0
HyperDualNumbers 4.0.5
ImageQuilting 0.14.0
InfiniteOpt 0.3.2
Instruments 0.2.0
MadNLP 0.1.5
MCAnalyzer 0.3.0
MKLSparse 1.1.0
Monads 0.2.3
MPSKit 0.4.0
NDTensors 0.1.28
NODAL 0.4.0
ParticleFilters 0.5.2
PolyJuMP 0.4.1
POMCPOW 0.3.3
SIMDPirates 0.8.26
SystemBenchmark 0.3.5
Adapt 3.2.0
ComputationalResources 0.3.2
ConditionalJuMP 0.1.0
ConfParser 0.1.2
DCEMRI 0.2.2
DPMMSubClusters 0.1.11
Erdos 0.7.0
FinancialToolbox 0.2.3
GpABC 0.1.0
GridapODEs 0.6.0
HttpCommon 0.5.0
LeastSquaresOptim 0.8.1
MCMCBenchmarks 0.7.2
MeshCatMechanisms 0.8.0
Microeconometrics 0.6.0
MiniFB 0.1.1
MLLabelUtils 0.5.5
Nuklear 0.1.1
